,B. pseudolongum,C. butyricum,C. symbiosum,P. copri,A. rava,E. coli
Con,0.4186,0.23657,0.23383,0.0858,0.1963,0.61278
AT9(C/G),0.4676,0.247,0.24973,0.09347,0.21523,0.52188
