Time,200uM,100uM,50uM,25uM
154,0.02865,0.01516,0.01211,0.00621
154.2,0.02858,0.01494,0.01194,0.00603
154.4,0.02838,0.01433,0.01153,0.00577
154.6,0.02867,0.01492,0.01146,0.00548
154.8,0.02837,0.01493,0.01177,0.00503
155,0.02872,0.01453,0.01206,0.00429
155.2,0.02892,0.01413,0.0123,0.00423
155.4,0.02866,0.01363,0.01182,0.00401
155.6,0.02819,0.01331,0.01102,0.00346
155.8,0.02787,0.01283,0.011,0.00338
156,0.02806,0.0122,0.01103,0.00293
156.2,0.02813,0.01231,0.01114,0.00285
156.4,0.02815,0.01272,0.01124,0.00286
156.6,0.02811,0.01258,0.01127,0.00311
156.8,0.02801,0.01279,0.0112,0.00338
157,0.02768,0.01275,0.01142,0.00349
157.2,0.02832,0.01334,0.01179,0.00422
157.4,0.02864,0.01394,0.01197,0.00482
157.6,0.02869,0.01438,0.01245,0.00531
157.8,0.02934,0.01535,0.01281,0.006
158,0.02899,0.01533,0.01271,0.00625
158.2,0.02928,0.01513,0.01257,0.00621
158.4,0.02901,0.01494,0.01238,0.00585
158.6,0.02916,0.01565,0.0127,0.00602
158.8,0.02877,0.01533,0.01286,0.00579
159,0.02921,0.01529,0.01305,0.00557
159.2,0.02881,0.015,0.01274,0.00514
159.4,0.02883,0.01521,0.01222,0.00502
159.6,0.0287,0.01508,0.01177,0.00448
159.8,0.02903,0.01492,0.01177,0.00402
160,0.02884,0.01451,0.01122,0.00312
160.2,0.02841,0.01475,0.01101,0.00318
160.4,0.02853,0.01506,0.01131,0.00371
160.6,0.02921,0.01534,0.01186,0.00425
160.8,0.02898,0.01559,0.01218,0.00443
161,0.02914,0.01569,0.01207,0.00425
161.2,0.02999,0.01588,0.0125,0.00484
161.4,0.03014,0.01604,0.01254,0.00508
161.6,0.0302,0.01597,0.01292,0.00566
161.8,0.03062,0.01615,0.01297,0.00585
162,0.0305,0.01536,0.01272,0.00566
162.2,0.03031,0.01518,0.01258,0.00521
162.4,0.02949,0.01471,0.01225,0.00487
162.6,0.02943,0.01468,0.01243,0.00518
162.8,0.02906,0.01439,0.01254,0.00456
163,0.02913,0.01478,0.01276,0.00456
163.2,0.0293,0.01495,0.01275,0.00421
163.4,0.02921,0.01521,0.01253,0.00447
163.6,0.02915,0.01534,0.01258,0.00427
163.8,0.02862,0.01523,0.01209,0.00361
164,0.02818,0.01539,0.01196,0.00367
164.2,0.0278,0.01543,0.01232,0.00384
164.4,0.0278,0.01574,0.01251,0.00411
164.6,0.02787,0.01613,0.0129,0.00428
164.8,0.02747,0.01587,0.01243,0.00416
165,0.02828,0.01608,0.01238,0.00407
165.2,0.02934,0.01627,0.01275,0.00476
165.4,0.02923,0.01609,0.01265,0.00482
165.6,0.02952,0.01587,0.01238,0.00473
165.8,0.02964,0.01567,0.01213,0.00412
166,0.0299,0.01526,0.01211,0.00414
166.2,0.02982,0.01522,0.01233,0.00414
166.4,0.02979,0.0152,0.0123,0.00455
166.6,0.03019,0.01538,0.0126,0.00493
166.8,0.03005,0.01494,0.0127,0.00467
167,0.02997,0.01481,0.0125,0.00541
167.2,0.03075,0.01489,0.01285,0.00568
167.4,0.03024,0.01452,0.01266,0.00579
167.6,0.03008,0.01425,0.01263,0.00532
167.8,0.02927,0.01378,0.01205,0.00498
168,0.02902,0.01384,0.0125,0.0057
168.2,0.02841,0.01312,0.01232,0.00539
168.4,0.0284,0.01348,0.01238,0.00562
168.6,0.02809,0.01401,0.01256,0.00586
168.8,0.02893,0.0146,0.01282,0.00586
169,0.02927,0.01498,0.01328,0.00558
169.2,0.0296,0.01551,0.01324,0.00582
169.4,0.0296,0.01554,0.01378,0.00617
169.6,0.02953,0.01578,0.01356,0.00594
169.8,0.0299,0.01637,0.01436,0.00606
170,0.03058,0.01708,0.01483,0.00649
170.2,0.03064,0.01746,0.01525,0.00669
170.4,0.03094,0.01728,0.01511,0.00704
170.6,0.03142,0.01712,0.01518,0.00681
170.8,0.03113,0.01642,0.0147,0.00585
171,0.03128,0.01628,0.01428,0.00592
171.2,0.03164,0.01613,0.01401,0.00517
171.4,0.03077,0.01545,0.01342,0.00462
171.6,0.0305,0.01511,0.01287,0.00409
171.8,0.03015,0.01449,0.01246,0.00392
172,0.03013,0.01402,0.01227,0.0041
172.2,0.02988,0.01368,0.01166,0.00353
172.4,0.02989,0.01387,0.01154,0.00349
172.6,0.03005,0.0141,0.01153,0.00356
172.8,0.0304,0.01396,0.01186,0.00361
173,0.02999,0.01374,0.01192,0.00366
173.2,0.03032,0.01394,0.01194,0.00454
173.4,0.03024,0.01388,0.0123,0.00511
173.6,0.02971,0.01354,0.0119,0.00489
173.8,0.03033,0.01386,0.0125,0.00531
174,0.03047,0.01412,0.01259,0.00542
174.2,0.03062,0.01423,0.01305,0.00599
174.4,0.0307,0.01403,0.013,0.0063
174.6,0.03079,0.01453,0.01321,0.00621
174.8,0.03047,0.01476,0.01298,0.00569
175,0.03053,0.01523,0.01276,0.00598
175.2,0.03044,0.01513,0.01256,0.00581
175.4,0.03043,0.01532,0.0127,0.00605
175.6,0.0305,0.01546,0.01266,0.00616
175.8,0.03041,0.01505,0.01241,0.00621
176,0.03018,0.01514,0.012,0.00588
176.2,0.02994,0.01499,0.01176,0.00567
176.4,0.02954,0.01446,0.01176,0.00527
176.6,0.02955,0.01415,0.01137,0.00541
176.8,0.02975,0.0144,0.01184,0.00582
177,0.02991,0.01489,0.01189,0.00622
177.2,0.02969,0.01451,0.01189,0.00602
177.4,0.02969,0.01442,0.01215,0.00566
177.6,0.02975,0.01407,0.01228,0.00544
177.8,0.03021,0.01442,0.01248,0.00525
178,0.03031,0.01461,0.01282,0.00525
178.2,0.03077,0.01473,0.01343,0.00561
178.4,0.03068,0.01461,0.01368,0.00555
178.6,0.03089,0.01513,0.01412,0.0055
178.8,0.03066,0.01538,0.01405,0.00526
179,0.03088,0.01541,0.01416,0.00527
179.2,0.03085,0.01466,0.01408,0.005
179.4,0.03123,0.01508,0.01446,0.00505
179.6,0.03084,0.0151,0.01424,0.00475
179.8,0.03087,0.01533,0.01395,0.00444
180,0.03033,0.0151,0.01345,0.00364
