id,log2FoldChange,pvalue
Undecylenic acid,0.082609222686568,0.699134199
isoLCA,0.745104526538592,0.041125541
CDCA,1.17946921993447,0.132034632
Undecanoic acid,0.778027845608475,0.151807562
5Z-Dodecenoic acid,-0.280800472874626,0.246090411
Dodecanoic acid,0.188645845330367,0.093073593
Tridecanoic acid,0.408616509966597,0.158831947
Myristoleic acid,-0.204803619117436,0.360544828
9E-tetradecenoic acid,0.14946024315639,0.672013613
Ricinelaidic acid,-0.556552306464856,0.26891339
12-Hydroxystearic acid,-0.269825983608432,0.570435436
LCA,1.0565960049952,0.041125541
bDCA,1.04611760379689,0.041125541
DCA,0.903810263406979,0.064935065
Myristic acid,0.111177641656699,0.497626881
9-Pentadecenoic acid,0.161325386698294,0.630469058
Pentadecanoic acid,0.18897251434755,0.523297646
Palmitoleic acid,-0.018632599802262,0.588744589
Palmitelaidic acid,-0.00906172278518572,0.947760788
10Z-Heptadecenoic acid,0.137833429026289,0.319717176
10-Trans-Heptadecenoic acid,0.341652474520864,0.393939394
alpha-Linolenic acid,-0.0900249450211053,0.75399753
gamma-Linolenic acid,-0.188655867403055,0.316451659
Linoleic acid,-0.0705802649894726,0.461865315
"(10Z,13Z)-Nonadecadienoic acid",-0.0110813736755141,0.944846611
EPA,-0.239612496655665,0.226914487
Arachidonic acid,0.278661594681545,0.507578982
Dihomo-gamma-linolenic acid,-0.374091518231446,0.588744589
DHA,0.102157715549908,0.711449841
DPA,-0.0500046612010581,0.857761244
DPAn-6,0.142168931612298,0.393939394
Succinic acid,-1.33278955483033,0.050070239
Citramalic acid,-0.429957725056993,0.269173336
Oleic acid,-0.0184679079336015,0.923705571
10Z-Nonadecenoic acid,0.0238509256111743,0.895971804
3-Hydroxyphenylacetic acid,0.448443877248194,0.265704554
Carnitine,-0.0532093890088033,0.790089251
Acetylcarnitine,-0.721998382685979,0.186978164
Valerylcarnitine,1.3294772972947,0.013936358
3-Hydroxylisovalerylcarnitine,-0.258815115052771,0.325362086
Glutarylcarnitine,-0.647459144997431,0.031362987
Adipoylcarnitine,-1.45533494339979,0.034506849
Dodecanoylcarnitine,-0.518772221026689,0.335822098
Tetradecanoylcarnitine,0.0432300520615687,0.937229437
Palmitoylcarnitine,0.331800734847046,0.460267152
Oleylcarnitine,0.501842124191161,0.34556172
Linoleylcarnitine,0.746158655633542,0.403349259
Stearylcarnitine,0.210880202920803,0.435572348
7-KetoLCA,-0.0395439107862527,0.937229437
bMCA,-0.128851633889591,0.818181818
bUDCA,1.09769742629382,0.484848485
12-DHCA,-0.173189816645518,0.588744589
12-KetoLCA,1.22357268832667,0.064935065
isoalloLCA,0.434260928244674,0.17965368
Indole-3-carboxaldehyde,-0.25232137322436,0.615785884
N-Acetylhistidine,-0.766102679879182,0.006256593
"2,2-Dimethylsuccinic acid",-0.259231651439553,0.390911418
Indolelactic acid,-1.24231176700273,0.091849427
1-Methylhistidine,-0.333652985902384,0.24025974
4-Hydroxyproline,-0.899941547033789,0.002164502
"7,12-DiketoLCA",-0.921952075245812,0.24025974
gamma-Glutamylalanine,-1.15563812292276,0.393939394
DCA-3S,0.273994925989749,0.581943918
Imidazolepropionic acid,-1.89756528345467,0.093073593
Imidazoleacetic acid,-0.771980236476731,0.057331171
N-Acetyl-lysine,-0.326544004617328,0.168448975
Gluconic acid,-0.425380080657894,0.461298153
Mannose,-0.0410066204773515,0.912507923
Phenylalanylphenylalanine,-0.820943038728281,0.30952381
Phenylalanyltryptophan,-0.964050589125445,0.222003286
Ethylmalonic acid,-0.321052837501356,0.393939394
Desaminotyrosine,0.0800244979443085,0.484848485
2-Aminobenzoic acid,-0.197082764078343,0.588744589
N-Acetyl-L-methionine,-0.80196949703999,0.17965368
Ribonolactone,-1.57770180974599,0.060486345
Phenlacetylglycine,1.63959574325952,0.521109983
Quinolinic acid,-0.478983618391617,0.588744589
5-Hydroxyindoleacetic acid,-0.915877127178408,0.041125541
Oxoadipic acid,-0.278556677947845,0.24025974
12-Tridecenoic acid,0.0701614547659888,0.352794816
Ricinoleic acid,0.140635193307331,0.492948062
Propionylcarnitine,-0.596163294857581,0.072773173
Isobutyrylcarnitine,-0.292580269576532,0.476957122
Methylmalonylcarnitine,-0.698809009962186,0.24025974
Orotic acid,0.116182341133694,0.937229437
Indole-3-carboxylic acid,-1.00581914253181,0.054595385
