Sham,AT9(C/G),IR,AT9(C/G)+IR,Gpbar1-KO+AT9(C/G)+IR,MF438+AT9(C/G)+IR
0.86068,1.56827,6.31541,3.31832,4.28217,6.33219
0.89452,2.00278,6.89156,2.52846,4.70639,8.51002
1.1975,1.35492,5.90401,3.04674,5.08001,7.11164
1.00144,1.98944,5.61451,2.30313,4.87339,8.25417
2.02104,1.24829,6.3216,2.99094,6.30347,6.93559
1.63983,2.39438,7.34308,2.81265,4.59679,5.67426
