Sham,AT9(C/G),IR,AT9(C/G)+IR,Gpbar1-KO+AT9(C/G)+IR,MF438+AT9(C/G)+IR
77.9415,71.17923,366.9083,184.43488,344.00915,434.60773
96.13855,72.79457,397.26612,187.15818,391.61969,486.54548
73.45945,100.50717,378.26206,255.77444,440.22669,497.33054
101.58616,107.82104,321.27493,168.67111,479.3778,461.86326
94.00722,64.60639,426.00318,155.9488,360.60548,545.81193
101.47332,87.6121,422.81305,216.91241,396.50034,486.73003
