Con,,IR,,LCA+IR,,LCA+IR+Si-SCD1,,,Con,,IR,,LCA+IR,,LCA+IR+Si-SCD1,
PE 36:4(16:0_20:4),PE 40:4(18:0_22:4),PE 36:4(16:0_20:4),PE 40:4(18:0_22:4),PE 36:4(16:0_20:4),PE 40:4(18:0_22:4),PE 36:4(16:0_20:4),PE 40:4(18:0_22:4),,PE 32:2(16:1_16:1),PE 36:2(18:1_18:1),PE 32:2(16:1_16:1),PE 36:2(18:1_18:1),PE 32:2(16:1_16:1),PE 36:2(18:1_18:1),PE 32:2(16:1_16:1),PE 36:2(18:1_18:1)
7.85553,2.19787,12.04421,5.11298,8.28522,2.59663,11.49668,5.47036,,1.56933,13.14616,1.3453,8.99358,1.48238,11.81005,1.2434,9.67064
8.14578,2.28405,11.73044,5.37851,8.48852,2.5871,11.41154,5.41563,,1.47582,13.81689,1.11122,9.41696,1.35528,12.32846,1.09292,9.62867
8.5889,2.62497,10.90026,5.56451,8.35989,2.89733,10.76297,5.23223,,1.40922,12.18268,1.10768,8.86635,1.21397,11.05773,1.15907,9.98551
8.53931,2.61501,11.89851,5.67245,8.65601,2.49867,11.46262,5.34633,,1.43006,12.69422,0.99966,8.97177,1.38615,13.14017,1.12789,9.29492
8.32104,2.49816,11.317,5.29525,8.30927,2.53235,10.4864,5.2085,,1.27034,13.29782,1.10596,8.7647,1.35886,12.28547,1.22015,9.85636
