Sham,IR, AT9(C/G)+IR,AT9+IR,HD5+IR
0.99048,0.7555,0.89233,0.81202,0.80309
0.99941,0.76443,0.90422,0.82094,0.80309
1.00535,0.77037,0.87745,0.81499,0.81499
0.99346,0.74955,0.90125,0.81499,0.80309
1.00833,0.74063,0.89233,0.80309,0.82391
1.00238,0.7555,0.8953,0.82391,0.80904
