Con,IR,LCA+IR,LCA+IR+Si-SCD1,
29.56788061,17.42803796,29.53951965,17.44989555,
29.50950291,17.00185621,30.18084907,16.57364119,
29.27237631,17.08833237,29.7823266,16.98954714,
29.38016852,17.27168824,29.60273978,17.34041357,
30.00755065,16.9034459,29.51947219,17.4632742,
