Con,pSREBP1,Con,pSREBP1,Con,pSREBP1,Con,pSREBP1,Con,pSREBP1,Con,pSREBP1
pGL3-basic,pGL3-basic,pGL3-SCD1-P5,pGL3-SCD1-P5,pGL3-SCD1-P4,pGL3-SCD1-P4,pGL3-SCD1-P3,pGL3-SCD1-P3,pGL3-SCD1-P2,pGL3-SCD1-P2,pGL3-SCD1-P1,pGL3-SCD1-P1
0.5468,1.0211,9.031,8.3154,6.476,9.265,8.4764,10.7756,9.3799,16.0575,8.6092,17.7501
0.8446,0.6452,7.9614,8.6338,8.7638,8.0924,6.5779,8.4774,7.8142,18.9866,7.6749,11.8268
1.5468,1.2542,10.1771,7.6331,9.822,7.1096,8.3103,7.3887,8.3926,16.9246,10.6071,14.0792
