Con,pSREBP1,Con,pSREBP1,Con,pSREBP1
pGL3-basic,pGL3-basic,pGL3-SCD1-P2,pGL3-SCD1-P2,pGL3-SCD1-MUT,pGL3-SCD1-MUT
1.14485,0.75967,8.3834,22.39535,8.11973,14.47644
1.00321,1.09329,10.17501,20.42282,8.18892,11.53602
1.17389,0.74932,10.34732,27.94133,13.59233,7.6973
